Year,Quarter,Facility Name,NOx Rate (lbs/mmBtu)
2021,2,West Valley Power Plant,0.1992
2021,2,West Valley Power Plant,0.1981
2021,2,West Valley Power Plant,0.1607
2020,3,Bethlehem Power Plant,0.004
2020,3,Bethlehem Power Plant,0.0041
2020,3,Bethlehem Power Plant,0.0042
2021,1,Magnet Cove Generating Station,0.22
2021,2,Feather River Energy Center,0.1927
2021,3,Feather River Energy Center,0.1805
2020,3,Cosumnes Power Plant,0.0042
2020,3,Hunterstown Combined Cycle,0.0031
2021,3,Hunterstown Combined Cycle,0.0034
2021,4,Hunterstown Combined Cycle,0.0042
2020,1,Hunterstown Combined Cycle,0.0036
2020,2,Hunterstown Combined Cycle,0.0034
2020,3,Hunterstown Combined Cycle,0.0033
2021,1,Hunterstown Combined Cycle,0.0033
2021,3,Hunterstown Combined Cycle,0.004
2021,4,Hunterstown Combined Cycle,0.0042
2020,1,South Harper Peaking Facility,0.196
2021,1,Millcreek Power,0.141
2020,4,Harry D. Mattison Power Plant,0.1411
2021,2,Harry D. Mattison Power Plant,0.145
2021,4,Harry D. Mattison Power Plant,0.182
2020,3,Harry D. Mattison Power Plant,0.1929
2021,2,Harry D. Mattison Power Plant,0.202
2021,2,Quail Run Energy Center,0.1669
2021,4,Grapeland Generating Station,0.1511
2020,4,Colusa Generating Station,0.0043
2021,3,Colusa Generating Station,0.0041
2020,4,Colusa Generating Station,0.0039
2020,2,Paducah Power Systems Plant 1,0.1641
2020,4,Paducah Power Systems Plant 1,0.157
2021,4,Paducah Power Systems Plant 1,0.1439
2020,2,Paducah Power Systems Plant 1,0.2197
2020,4,Paducah Power Systems Plant 1,0.1412
2021,1,Paducah Power Systems Plant 1,0.2249
2020,1,Paducah Power Systems Plant 1,0.152
2020,4,Paducah Power Systems Plant 1,0.1758
2021,2,Paducah Power Systems Plant 1,0.1663
2020,3,Paducah Power Systems Plant 1,0.1625
2021,3,Paducah Power Systems Plant 1,0.1459
2020,4,CPV St. Charles Energy Center,0.0043
2021,2,Pueblo Airport Generating Station,0.0037
2020,3,Pueblo Airport Generating Station,0.0035
2021,1,Pueblo Airport Generating Station,0.0028
2021,2,Pueblo Airport Generating Station,0.0042
2021,3,Pueblo Airport Generating Station,0.0042
2021,1,Pueblo Airport Generating Station,0.0035
2021,2,Pueblo Airport Generating Station,0.0037
2020,3,Pueblo Airport Generating Station,0.0036
2020,4,Pueblo Airport Generating Station,0.0031
2021,1,Pueblo Airport Generating Station,0.0016
2021,2,Pueblo Airport Generating Station,0.0031
2021,3,Alpine Power Plant,0.1427
2020,1,Colorado Bend II,0.0043
2021,3,Colorado Bend II,0.0042
2021,3,Colorado Bend II,0.0042
2021,1,Bacliff Generating Station,0.1515
2021,4,Bacliff Generating Station,0.1804
2021,1,"Chamon Power, LLC",0.2191
2021,1,"Chamon Power, LLC",0.1949
2021,1,Victoria City Peaking Facility,0.1645
2021,3,Hill Top Energy Center,0.0037
2021,4,Hill Top Energy Center,0.0039
2021,4,Delta Energy Park,0.228
2021,4,Delta Energy Park,0.193
2021,1,HO Clarke Generating,0.2162
